name,surface,year,num_wins,num_losses,num_upsets,num_was_upset,sets_won,sets_lost
shelton b.,Clay,2023,2,7,0,4,9,15
shelton b.,Grass,2023,1,2,0,1,4,4
shelton b.,Hard,2022,3,3,3,0,9,8
shelton b.,Hard,2023,6,6,2,2,20,17
shevchenko a.,Clay,2023,5,4,3,0,13,10
sinner j.,Clay,2021,9,6,2,2,22,17
sinner j.,Clay,2022,15,3,2,0,34,12
sinner j.,Clay,2023,7,3,0,3,19,10
sinner j.,Grass,2022,4,2,1,1,15,8
sinner j.,Grass,2023,3,1,0,1,6,4
sinner j.,Hard,2021,36,14,7,10,82,41
sinner j.,Hard,2022,21,7,0,3,53,28
sinner j.,Hard,2023,21,5,4,1,48,16
sonego l.,Clay,2021,5,4,3,2,11,12
sonego l.,Clay,2022,8,11,0,6,25,24
sonego l.,Clay,2023,7,5,4,2,18,16
sonego l.,Grass,2021,6,3,0,1,16,9
sonego l.,Grass,2022,5,4,0,1,14,12
sonego l.,Grass,2023,2,3,1,2,5,7
sonego l.,Hard,2021,16,15,1,8,42,36
sonego l.,Hard,2022,11,13,5,7,33,30
sonego l.,Hard,2023,8,8,5,1,21,19
stricker d.,Clay,2021,2,2,2,0,5,4
stricker d.,Clay,2022,1,1,1,0,3,3
stricker d.,Grass,2021,2,1,2,0,5,2
stricker d.,Grass,2022,1,1,1,0,2,3
stricker d.,Hard,2022,2,2,2,0,5,4
thiem d.,Clay,2021,4,4,0,4,11,11
thiem d.,Clay,2022,7,9,6,1,17,23
thiem d.,Clay,2023,6,8,4,2,16,19
thiem d.,Hard,2021,4,3,0,3,12,10
thiem d.,Hard,2022,10,7,9,0,23,21
thompson j.,Clay,2021,2,5,2,3,5,13
thompson j.,Clay,2022,1,4,0,0,4,9
thompson j.,Grass,2021,8,5,4,2,19,15
thompson j.,Grass,2022,1,3,0,1,3,7
thompson j.,Grass,2023,6,3,2,1,15,7
thompson j.,Hard,2021,10,10,1,6,25,28
thompson j.,Hard,2022,8,10,4,3,23,27
thompson j.,Hard,2023,3,6,1,2,9,14
tiafoe f.,Clay,2021,3,5,0,4,10,12
tiafoe f.,Clay,2022,8,6,1,4,19,17
tiafoe f.,Clay,2023,8,4,0,4,21,11
tiafoe f.,Grass,2021,4,3,2,1,10,8
tiafoe f.,Grass,2022,3,3,0,3,13,8
tiafoe f.,Grass,2023,5,1,0,1,10,4
tiafoe f.,Hard,2021,24,15,12,8,62,43
tiafoe f.,Hard,2022,23,14,5,7,60,39
tiafoe f.,Hard,2023,10,5,1,3,24,13
tsitsipas s.,Clay,2021,22,5,1,2,55,15
tsitsipas s.,Clay,2022,17,4,2,2,40,18
tsitsipas s.,Clay,2023,16,5,0,2,37,15
tsitsipas s.,Grass,2022,8,3,0,3,20,11
tsitsipas s.,Grass,2023,1,3,0,3,4,7
tsitsipas s.,Hard,2021,27,11,1,10,68,40
tsitsipas s.,Hard,2022,32,15,1,14,75,44
tsitsipas s.,Hard,2023,8,4,0,4,23,13
van assche l.,Clay,2023,3,4,2,0,8,11
van assche l.,Grass,2023,1,1,0,0,3,3
van de zandschulp b.,Clay,2021,1,1,1,0,5,5
van de zandschulp b.,Clay,2022,9,6,4,4,21,17
van de zandschulp b.,Clay,2023,4,6,1,4,11,14
van de zandschulp b.,Grass,2021,1,1,1,0,3,4
van de zandschulp b.,Grass,2022,6,4,1,2,17,12
van de zandschulp b.,Hard,2021,13,8,9,1,33,27
van de zandschulp b.,Hard,2022,17,17,3,8,41,42
van de zandschulp b.,Hard,2023,9,6,2,4,21,18
vesely j.,Clay,2021,3,5,0,3,8,11
vesely j.,Grass,2021,2,1,0,0,5,2
vesely j.,Grass,2022,3,1,2,0,8,5
vesely j.,Hard,2021,5,7,1,3,17,19
vesely j.,Hard,2022,5,7,4,2,12,17
vukic a.,Grass,2023,1,1,1,0,2,3
vukic a.,Hard,2021,2,3,1,0,5,7
vukic a.,Hard,2022,6,5,5,0,16,14
vukic a.,Hard,2023,1,4,1,1,5,10
watanuki y.,Clay,2022,2,0,2,0,4,1
watanuki y.,Clay,2023,1,2,1,1,3,4
watanuki y.,Grass,2023,1,1,0,0,3,2
watanuki y.,Hard,2021,1,1,1,0,2,3
watanuki y.,Hard,2023,2,2,1,0,6,5
wawrinka s.,Clay,2022,2,4,2,0,6,11
wawrinka s.,Clay,2023,4,5,4,2,12,15
wawrinka s.,Grass,2022,1,2,1,0,3,6
wawrinka s.,Hard,2021,3,3,0,3,10,9
wawrinka s.,Hard,2022,5,6,5,0,15,15
wawrinka s.,Hard,2023,7,4,5,1,16,13
wolf j.j.,Clay,2022,1,1,1,1,2,2
wolf j.j.,Clay,2023,5,5,1,2,12,11
wolf j.j.,Grass,2023,2,2,1,0,5,5
wolf j.j.,Hard,2022,14,12,11,2,33,31
wolf j.j.,Hard,2023,9,7,4,4,25,17
wu y.,Clay,2023,3,4,1,1,7,11
wu y.,Grass,2023,1,3,1,1,4,6
wu y.,Hard,2022,2,1,2,0,6,5
wu y.,Hard,2023,7,3,6,0,16,11
ymer m.,Clay,2021,6,6,4,2,17,18
ymer m.,Clay,2022,2,4,2,2,7,10
ymer m.,Clay,2023,1,1,0,0,2,3
ymer m.,Grass,2021,1,2,1,0,4,7
ymer m.,Grass,2022,1,1,1,0,4,3
ymer m.,Grass,2023,2,3,1,1,7,7
ymer m.,Hard,2021,10,10,6,1,24,28
ymer m.,Hard,2022,18,13,14,5,42,36
ymer m.,Hard,2023,4,8,2,3,10,19
zapata miralles b.,Clay,2021,2,3,1,0,5,9
zapata miralles b.,Clay,2022,6,8,4,2,16,21
zapata miralles b.,Clay,2023,15,9,7,3,35,27
zapata miralles b.,Hard,2021,2,5,2,2,6,13
zapata miralles b.,Hard,2022,3,7,2,0,8,15
zverev a.,Clay,2021,14,4,2,2,36,13
zverev a.,Clay,2022,14,4,0,4,34,14
zverev a.,Clay,2023,12,6,1,1,30,18
zverev a.,Grass,2021,4,2,0,2,14,7
zverev a.,Grass,2023,3,1,0,1,6,2
zverev a.,Hard,2021,31,7,4,3,76,23
zverev a.,Hard,2022,10,4,0,4,25,11
zverev a.,Hard,2023,7,6,0,4,19,17
